STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
54003,110497,1813,477,88,1271
54005,23714,-373,-48,-1,-312
54009,23530,-176,-134,6,-53
54011,97109,-72,161,139,-308
54015,8941,-261,0,-2,-268
54017,8391,-26,-1,2,-46
54019,45132,-435,-167,14,-257
54027,23483,16,-23,-3,27
54029,30112,-117,-122,-5,27
54033,68761,-165,-85,22,-126
54037,55713,752,133,126,481
54039,190223,-1171,-261,73,-832
54043,21561,41,-27,1,63
54045,35348,-633,-71,-1,-576
54049,56803,45,-57,37,105
54051,32416,-164,-42,1,-107
54053,27016,-130,-49,-4,-115
54055,61785,-125,-129,31,16
54057,27578,-129,-46,-3,-90
54061,103463,1246,420,344,503
54069,43328,-400,-69,28,-335
54077,33788,80,-18,4,80
54079,56770,184,2,17,132
54081,78241,-388,-65,78,-401
54083,29429,-137,-30,6,-112
54091,17069,77,-5,0,86
54099,41122,-403,-110,18,-284
54105,5845,-30,19,6,-60
54107,86237,-163,-159,9,47
55009,256670,1905,1733,405,-111
55015,49491,-153,220,18,-387
55017,63460,261,188,24,92
55021,56615,2,105,11,-118
55025,516284,6257,3160,1614,1590
55027,88574,175,-39,58,172
55031,43698,-98,9,16,-106
55033,44305,84,144,24,-128
55035,101564,-140,490,72,-691
55037,4481,-36,-24,0,-15
55039,101759,111,219,85,-148
55043,51829,709,61,22,643
55045,37063,-23,51,38,-96
55049,23825,85,92,8,-8
55055,84395,-215,229,68,-467
55059,168068,547,672,89,-131
55061,20444,-30,-1,6,-42
55063,118011,681,285,150,249
55069,28493,-183,-28,2,-134
55071,80160,-463,23,44,-482
55073,135780,415,521,119,-186
55075,41298,-199,-58,12,-116
55078,4522,140,30,22,73
55079,956406,20,5892,2046,-7837
55083,37417,83,-25,3,133
55087,182006,1781,1037,178,615
55089,87470,375,59,56,202
55093,40958,225,130,-2,108
55097,70482,-105,196,45,-324
55101,195163,241,802,159,-626
55105,161188,555,530,54,42
55109,86759,851,432,19,373
55111,63379,316,157,86,31
55115,41579,-15,43,20,-65
55117,115290,422,212,100,127
55127,103527,448,142,70,249
55131,133251,505,255,56,219
55133,395118,1178,617,363,299
55139,169511,151,477,84,-404
55141,73608,-336,106,32,-426
56001,37811,237,233,121,-131
56005,48320,110,466,28,-377
56013,40703,-349,129,7,-472
56021,96389,374,504,102,-172
56025,81624,481,470,43,19
56033,30032,196,23,33,107
56037,45010,-195,364,13,-586
56039,22930,555,183,46,318
56041,20904,-127,182,-8,-307
