STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
16045,16866,172,27,30,118
16051,27021,153,352,6,-199
16053,22818,212,259,36,-77
16055,147326,2969,503,47,2135
16057,38411,190,246,88,-138
16063,5316,9,41,5,-43
16065,38038,466,948,25,-518
16067,20323,13,193,36,-220
16069,40007,69,43,36,25
16073,11353,-70,67,8,-141
16075,22836,245,123,-3,133
16081,10341,40,134,13,-104
16083,80914,1075,521,149,409
17001,66988,-58,-21,13,-83
17003,7492,-151,-2,5,-162
17005,17269,-192,-12,15,-205
17007,53869,-41,233,-1,-245
17011,33840,-244,-40,16,-194
17013,4956,-86,-17,2,-70
17019,207133,1372,1115,1904,-1602
17021,33892,-279,-31,13,-240
17027,37857,-38,59,8,-107
17029,53320,-321,35,25,-358
17031,5246456,-179,28798,19520,-48625
17035,10833,-38,-11,14,-52
17037,105462,660,495,212,-69
17039,16284,-117,-31,1,-94
17043,932708,1186,4327,3145,-5878
17049,34320,14,117,5,-150
17053,13688,-126,-65,6,-65
17057,36007,-362,-109,13,-295
17063,50425,276,230,4,4
17067,18564,33,-9,4,-56
17071,6916,7,-36,-1,47
17073,49635,-115,2,2,-85
17077,59677,-304,200,297,-786
17081,38534,-187,36,50,-254
17083,22571,-67,30,10,-102
17089,527306,3029,3585,710,-1295
17091,111375,-818,214,86,-1112
17093,121350,1825,1167,101,560
17095,52069,-166,-38,72,-162
17097,705186,1186,3611,1806,-3983
17099,111241,-798,-117,50,-668
17103,34735,-146,-22,2,-100
17105,37903,-340,99,18,-454
17107,29746,-197,-32,14,-159
17109,31880,-540,25,45,-685
17111,307283,-84,1299,359,-1623
17113,174061,-832,1053,589,-2507
17115,108350,-1085,213,85,-1378
17117,46453,-439,-125,18,-309
17119,266560,-687,342,153,-1041
17121,38571,-75,88,7,-150
17123,12014,-126,-38,12,-100
17127,14905,-75,-15,2,-60
17129,12570,-38,-6,0,-24
17131,15945,-178,-30,1,-146
17133,33722,152,40,-1,53
17137,34929,-109,12,24,-137
17141,52085,-292,40,21,-323
17143,187319,-1210,968,364,-2532
17147,16431,-9,2,3,-20
17155,5814,-11,-7,0,1
17161,146063,-741,421,380,-1498
17163,265729,-1336,735,235,-2240
17167,198997,-40,269,179,-466
17171,5204,-30,8,0,-39
17175,5813,-70,-29,2,-62
17177,46435,-347,-34,15,-310
17179,135707,-665,241,22,-962
17183,79728,-690,161,24,-878
17195,56876,-398,0,14,-378
17197,685419,1711,3694,1056,-2866
17199,67008,-80,54,29,-106
17201,288542,-2303,850,372,-3509
17203,39187,32,50,16,-15
18001,34791,106,443,7,-350
18003,365918,2322,2322,829,-674
18005,80217,668,415,259,40
18007,8700,-48,14,5,-70
18011,61915,1396,314,63,987
